,Co,Ni,W,Al,Cr,Fe,Ti,Cu,structure,volume,bandgap,natoms,ntypes,energy,crystal_structure,crystal_system
134,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.081,0.0,13,2,0.1459102084615383,R,trigonal
135,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.158,0.0,30,2,0.0788352496666675,P,tetragonal
136,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.252,0.0,30,2,0.0763457390000004,P,tetragonal
137,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.408,0.0,30,2,0.0746276800000003,P,tetragonal
138,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.363,0.0,13,2,0.1142079592307692,R,trigonal
139,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.78,0.0,13,2,0.1331040153846152,R,trigonal
140,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.658,0.0,13,2,0.1297223684615387,R,trigonal
141,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,327.947,0.0,30,2,0.0764485003333334,P,tetragonal
142,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,329.296,0.0,30,2,0.0708695659999998,P,tetragonal
143,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.796,0.0,30,2,0.0673812296666663,P,tetragonal
144,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.577,0.0,13,2,0.1243941823076933,R,trigonal
145,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.326,0.0,13,2,0.1062017492307697,R,trigonal
146,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.866,0.0,13,2,0.2175134638461545,R,trigonal
147,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Pm-3m,26.6124,0.0,2,2,0.339891345,P,cubic
148,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,R-3m,27.1491,0.0,2,2,0.28553724,R,trigonal
149,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P4/mmm,26.2849,0.0,2,2,0.1482305,P,tetragonal
150,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Fm-3m,28.7987,0.0,2,2,0.8343311,F,cubic
151,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Pmma,52.3742,0.0,4,2,0.0480384199999992,P,orthorhombic
152,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,F-43m,37.2219,0.0,2,2,1.547691975,F,cubic
153,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,68.6054,0.0,4,2,1.094303185,P,hexagonal
154,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P-6m2,26.9871,0.0,2,2,0.222798565,P,hexagonal
155,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P4/mmm,26.1839,0.0,2,2,0.0406892150000004,P,tetragonal
156,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P4/mmm,26.1716,0.0,2,2,0.0407879399999995,P,tetragonal
157,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cmcm,172.902,0.0,12,2,0.5598501650000003,C,orthorhombic
158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,173.071,0.0,12,2,0.5927670958333332,P,hexagonal
159,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cmcm,157.793,0.0,12,2,0.0717480725000001,C,orthorhombic
160,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,157.153,0.0,12,2,-0.0140681424999999,P,hexagonal
161,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,314.669,0.0,24,2,0.0251540104166672,P,hexagonal
162,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,345.557,0.0,24,2,0.6035814941666663,P,hexagonal
163,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,R-3m,210.271,0.0,13,2,0.2969639207692296,R,trigonal
164,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,479.741,0.0,30,2,0.1479689429999988,P,tetragonal
165,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Fd-3m,280.355,0.0,6,2,3.96020788166667,F,cubic
166,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,I4/mcm,85.0155,0.0,6,2,0.0074605566666671,I,tetragonal
167,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Fd-3m,96.0217,0.0,6,2,0.817608068333333,F,cubic
168,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,192.029,0.0,12,2,0.8366223558333333,P,hexagonal
169,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Cmcm,172.236,0.0,12,2,0.1777744250000002,C,orthorhombic
